,Fold,k,Accuracy,Time,Kappa,Recall,F1 Score
0,2.0,1.0,0.9604523809523811,207279.25649999996,0.9560401660159457,0.9604523809523811,0.9603792726664386
1,2.0,5.0,0.9599047619047619,206814.96100000004,0.9554291501862183,0.9599047619047619,0.9598119252257017
2,2.0,10.0,0.9555,207003.7389999993,0.9505307975653898,0.9555,0.9553895127630588
3,2.0,15.0,0.9514523809523809,206772.72549999953,0.9460300862612586,0.9514523809523809,0.9513530932522821
4,2.0,20.0,0.9477619047619048,207062.49399999977,0.9419256398818403,0.9477619047619048,0.9476605421119042
5,2.0,25.0,0.9440238095238096,207233.73999999967,0.937768711441193,0.9440238095238096,0.9439425418844043
6,2.0,30.0,0.9415,207558.35549999936,0.9349615207903601,0.9415,0.941418633616762
7,2.0,35.0,0.9394523809523809,207530.44299999965,0.9326841218101526,0.9394523809523809,0.9394023567934957
8,2.0,40.0,0.937047619047619,207726.1670000007,0.9300092628684093,0.937047619047619,0.9369833472515652
9,2.0,45.0,0.9353095238095238,207523.2464999999,0.9280760105776564,0.9353095238095238,0.9352648678251078
10,2.0,50.0,0.9335476190476191,207567.23350000038,0.9261158762219374,0.9335476190476191,0.9335141951370245
0,5.0,1.0,0.9661666666666667,136545.3017999993,0.9623905941320153,0.9661666666666667,0.9661244894618861
1,5.0,5.0,0.9657857142857142,136507.0211999988,0.9619656689769565,0.9657857142857142,0.9657072270833599
2,5.0,10.0,0.9622857142857143,135685.5337999994,0.9580737859344687,0.9622857142857143,0.9622073541101555
3,5.0,15.0,0.959309523809524,135531.6148000005,0.954764209409811,0.959309523809524,0.9592329565484137
4,5.0,20.0,0.9560000000000001,136352.86559999877,0.951083765075882,0.9560000000000001,0.9559244119743792
5,5.0,25.0,0.9531666666666666,135751.68759999977,0.9479333737549268,0.9531666666666666,0.9530845942123806
6,5.0,30.0,0.9502380952380953,134597.98720000038,0.9446764967285513,0.9502380952380953,0.950153565716558
7,5.0,35.0,0.9480714285714285,135566.6491999993,0.9422673035493065,0.9480714285714285,0.9479931553766698
8,5.0,40.0,0.9456666666666667,136817.1409999999,0.9395924581128903,0.9456666666666667,0.9455954754162399
9,5.0,45.0,0.9432380952380953,137538.37899999964,0.9368921069994369,0.9432380952380953,0.9431603597871984
10,5.0,50.0,0.9420238095238096,136283.49959999943,0.9355410946281953,0.9420238095238096,0.9419546114673656
